,tag
0,#2_Temp_vode_sanitarna
1,#2_Poti4
2,#2_Poti3
3,#2_Poti2
4,#2_Poti1
5,#2_SV_vklop
6,#2_Povec_temp_TC_pri_SV
7,#2_Cas_zakasn_po_solarju
8,#2_PV_Vklop
9,#2_MK1_vklop
10,#2_Tipalo_Zalog
11,#2_Tipalo_VF2
12,#2_Tipalo_VF1
13,#2_Tipalo_RF2
14,#2_Tipalo_RF
15,#2_Tipalo_BF2
16,#2_Tipalo_BF1
17,#2_Tipalo_AF
18,#2_Temp_Prostora
19,#2_Temp_Zunanja
20,#2_Temp_RF2
21,#2_Temperatura_legionela
22,#2_On_Dan_Legionella
23,#2_Legionela_vklop
24,#2_Legionela_Cikel
25,#2_On_Min_Legionella
26,#2_On_Ura_Legionella
27,#2_Diferenca_vklopa_SV
28,#2_Kalibracija_BF_1
29,#2_Kalibracija_BF_2
30,#2_Vklop_Izklop
31,#2_Max_moc_TC_pri_OGR
32,#2_Max_moc_TC_pri_SV
33,#2_Max_moc_TC_TISJA
34,#2_Limita_moci_pri_HLAJ
35,#2_Limita_moci_pri_OGR
36,#2_Limita_moci_pri_SV
37,#2_Kontakt_ID2
38,#2_Kontakt_PF_f_NC_NO
39,#2_Kontakt_Preklopni_ventil
40,#2_Kontakt_pret_stik_NC_NO
41,#2_Krivulja_TC
42,#2_Kalibracija_AF
43,#2_Kalibracija_RF
44,#2_Kalibracija_RF2
45,#2_Kalibracija_VF
46,#2_Kalibracija_VF2
47,#2_Kontakt_ekst_IZKLOP_TC
48,#2_Kontakt_ekst_vklop_2_NC_NO
49,#2_Kontakt_ekst_vklop_NC_NO
50,#2_Temp_AF_za_TISJE_DEL
51,#2_Shema
52,#2_Rezim_MK1
53,#2_Rezim_MK2
54,#2_Povec_temp_TC_pri_MK1
55,#2_Povec_temp_TC_pri_MK2
56,#2_Cas_izklopa_TC
57,#2_Cas_MP1_za_90st
58,#2_Cas_MP2_za_90st
59,#2_Cas_prvega_vklopa_C0
60,#2_Cas_ur_preklop_poletje_MK1_HL
61,#2_Cas_ur_preklop_poletje_MK2_HL
62,#2_Cas_ur_preklop_zima_MK1
63,#2_Cas_ur_preklop_zima_MK2
64,#2_Cas_zakasn_izkl_C0
65,#2_Cas_zakasn_izkl_C1
66,#2_Cas_zakasn_izkl_C2
67,#2_Tisje_delov
68,#2_Verzija_programa_ZAPOREDJE
69,#2_Verzija_programa_MESEC
70,#2_Verzija_programa_LETO
71,#2_Verzija_programa_DAN
72,#2_Zakasnitev_izklopa_TC
73,#2_Temp_prostor_dnevna
74,#2_Temp_preklop_poletje_MK2_HL
75,#2_Temp_preklop_poletje_MK1_HL
76,#2_Tekoci_dan_susenje_estrihov
77,#2_Talno_Radiatorsko_MK2
78,#2_Talno_Radiatorsko_MK1
79,#2_Reg_po_RF_AF_KONST_MK2_HL
80,#2_Reg_po_RF_AF_KONST_MK2
81,#2_Reg_po_RF_AF_KONST_MK1_HL
82,#2_Reg_po_RF_AF_KONST_MK1
83,#2_Sobni_DPWT_PGD1
84,#2_Sobni_2_DPWT_PGD1
85,#2_Max_VF_MK2
86,#2_Max_VF_MK1
87,#2_Max_varnostna_Temp_BF
88,#2_Max_Temp_SOLAR
89,#2_Max_Temp_BF
90,#2_Min_VF_susenje_estrihov
91,#2_Min_VF_MK2_HL
92,#2_Min_VF_MK2
93,#2_Min_VF_MK1_HL
94,#2_Min_VF_MK1
95,#2_Min_Temp_SOLAR
96,#2_Max_VF_susenje_estrihov
97,#2_Aktiv_avtom_preklop_zima_MK2
98,#2_Aktiv_avtom_preklop_zima_MK1
99,#2_Aktiv_avtom_preklop_poletje_MK2
100,#2_Aktiv_avtom_preklop_poletje_MK1
101,#2_Zamik_krivulje_MK2
102,#2_Zamik_krivulje_MK1
103,#2_Nagib_krivulje_MK2
104,#2_Nagib_krivulje_MK1
105,#2_Temp_prostor_nocna_OK2
106,#2_Temp_prostor_nocna
107,#2_Temp_prostor_dnevna_OK2
108,#2_Ponoci_min_temp_IZKLOP_MK1
109,#2_Tocka_2_30st_HL_MK2
110,#2_Tocka_2_30st_HL_MK1
111,#2_Tocka_1_20st_HL_MK2
112,#2_Tocka_1_20st_HL_MK1
113,#2_Vklop_Elektro_Grelci
114,#2_Izbira_st_grelcev
115,#2_Elektro_Grelec_Zakasnitev_3_ST
116,#2_Elektro_Grelec_Zakasnitev_2_ST
117,#2_Elektro_Grelec_Zakasnitev_1_ST
118,#2_Zun_temp_za_vklop_Grelec_3
119,#2_Zun_temp_za_vklop_Grelec_2
120,#2_Zun_temp_za_vklop_Grelec_1
121,#2_Vzporedno_Elektro_Grelci
122,#2_Vzporedno_Dod_vir_izklop
123,#2_Temp_Vklop_Dod_Vir
124,#2_Dodatni_Vir_Zakasnitev
125,#2_SOLAR_VKLOP
126,#2_Dif_vklopa_SOLAR
127,#2_Dif_izklopa_SOLAR
128,#2_Max_moc_TC_pri_HLAJ
129,#2_Susenje_estrihov_vklop
130,#2_Stevilo_dni_susenje_estrihov
131,#2_Vklop_ANTI_BLOK_prog
132,#2_Poti5
133,#2_PRIKAZ_Reg_temp_vode
134,#2_Temp_Zalog
135,#2_Temp_zelena_MK_2
136,#2_Temp_zelena_MK_1
137,#2_Odstotki_odprtosti_MP1
138,#2_Odstotki_odprtosti_MP2
139,#2_Vklop_ele_grelca_3
140,#2_Vklop_ele_grelca_2
141,#2_Vklop_ele_grelca_1
142,#2_Vklop_C3
143,#2_Vklop_C2
144,#2_Vklop_C1
145,#2_Vklop_C0
146,#2_Zahtevana_RF_MK_1
147,#2_Delovanje_MP1
148,#2_Rezim_delov_TC
149,#2_Izrac_temp_TC
150,#2_Izrac_temp_ZALOG
151,#2_Izrac_temp_ZALOG_HL
152,#2_Izrac_temp_ZALOG_OGR
153,#2_Pogoj_maska_pret_stik
154,#2_Preklop_PV1
155,#SV_z_EH_Temperatura
156,#PV_Temp_SV_1
157,#PV_Temp_ZALOG_1
158,#Temp_SV_za_preklop_EH
159,#PV_Temp_ZALOG_2
160,#PV_Temp_ZALOG_HL
161,#PV_Temp_SV_2
162,#PARTY_CAS
163,#Cas_GESLO
164,#URA
165,#MINUTA
166,#DAN
167,#MESEC
168,#LETO
169,#Pocitniski_DAN
170,#Pocitniski_MESEC
171,#OSN_Tipalo_B12
172,#Pocitniski_LETO
173,#ECO_CAS
174,#MK1_Tocka1_HL
175,#MK1_TockaX1_HL
176,#MK1_Tocka2_HL
177,#MK1_TockaX2_HL
178,#MK2_Tocka1_HL
179,#MK2_TockaX1_HL
180,#MK2_Tocka2_HL
181,#MK2_TockaX2_HL
182,#DK3_Tocka1_HL
183,#DK3_TockaX1_HL
184,#DK3_Tocka2_HL
185,#DK3_TockaX2_HL
186,#SV_Vklop
187,#SV_Aktiviranje_EL_GRELEC
188,#SV_LEGIONELA_Vklop
189,#Zagon_ORO
190,#TEST_CO
191,#TEST_C1
192,#TEST_C2
193,#TEST_C3
194,#TEST_MK1_O
195,#TEST_MK1_Z
196,#TEST_MK2_O
197,#SERVIS
198,#SOLAR_Vklop
199,#SV_Rezim_24_timer
200,#OSN_Izhod_13
201,#URE_DELOVANJA_PRIKAZ_LETO
202,#URE_DELOVANJA_PRIKAZ_MESEC
203,#GESLO
204,#VSTAVI_GESLO_EH
205,#NOVO_GESLO_EH
206,#Vklop_el_grelci_za_SV
207,#PV_El_Grelci
208,#MK1_IME
209,#MK1_Vklop
210,#MK1_OGR_Kr_Nast_X1
211,#MK2_OGR_Kr_Nast_X1
212,#DK3_OGR_Kr_Nast_X1
213,#MK1_OGR_Kr_Nast_X2
214,#MK2_OGR_Kr_Nast_X2
215,#DK3_OGR_Kr_Nast_X2
216,#MK1_OGR_Kr_Nast_Y1
217,#MK2_OGR_Kr_Nast_Y1
218,#DK3_OGR_Kr_Nast_Y1
219,#MK1_OGR_Kr_Nast_Y2
220,#MK2_OGR_Kr_Nast_Y2
221,#DK3_OGR_Kr_Nast_Y2
222,#MK1_Vklop(3)
223,#MK1_Instalacija
224,#MK1_Povisanje
225,#MK1_OGR_Krivulja_X1
226,#DK3_OGR_Krivulja_X1
